well	surface	md	age_ma
DUN-99	Q	0	0
DUN-99	P3t	20	251.9
DUN-99	P2ur	310	264.28
DUN-99	P2kz	480	266.9
DUN-99	P1uf	620	273.01
DUN-99	P1kg	660	278
DUN-99	P1ar	740	283.5
DUN-99	C3	980	299
DUN-99	C2m	1280	307
DUN-99	C2vr	1670	313
DUN-99	C2b	1730	315.2
DUN-99	C1s	1810	323.2
DUN-99	C1ok	2040	331
DUN-99	C1tl	2260	334
DUN-99	C1bb	2320	337
DUN-99	C1t	2660	346.7
DUN-99	D3fm	2875	358.9
DUN-99	D3f3	2960	372.2
DUN-99	D2gv	3150	382.7
DUN-99	D2ef1	3250	387.7
DUN-99	Base_RF12	3260	1650
