unit_id,parent_unit_id,unit_name,strat_index,rank_id,start_age_ma,end_age_ma,start_age_err_ma,font_color,cmyk,cyan,magenta,yellow,black,rgb,red,green,blue,html_rgb_hash,standard_sort
45,30,Series 2,Cm1-2,6,509,521,,Black,40/10/50/0,40,10,50,0,153/192/120,153,192,120,#99C078,163
94,44,Stage 2,,8,521,529,,Black,35/15/45/0,35,15,45,0,166/186/128,166,186,128,#A6BA80,164
93,44,Fortunian,Cm1f,8,529,538.8,,Black,40/15/50/0,40,15,50,0,153/181/117,153,181,117,#99B575,165
44,30,Terreneuvian,Cm1-1,6,521,538.8,,Black,45/15/55/0,45,15,55,0,140/176/108,140,176,108,#8CB06C,166
30,13,Cambrian,Cm,5,485.4,538.8,1.9,White,50/20/65/0,50,20,65,0,127/160/86,127,160,86,#7FA056,167
13,5,Paleozoic,PZ,4,251.902,538.8,0.024,Black,40/10/40/0,40,10,40,0,153/192/141,153,192,141,#99C08D,168
5,,Phanerozoic,,2,0,538.8,,Black,40/0/5/0,40,0,5,0,154/217/221,154,217,221,#9AD9DD,169
29,12,Ediacaran,,5,538.8,635,0.2,Black,0/15/55/0,0,15,55,0,254/217/106,254,217,106,#FED96A,170
28,12,Cryogenian,,5,635,720,,Black,0/20/60/0,0,20,60,0,254/204/92,254,204,92,#FECC5C,171
27,12,Tonian,,5,720,1000,,Black,0/25/65/0,0,25,65,0,254/191/78,254,191,78,#FEBF4E,172
12,4,Neoproterozoic,,4,538.8,1000,0.2,Black,0/30/70/0,0,30,70,0,254/179/66,254,179,66,#FEB342,173
26,11,Stenian,,5,1000,1200,,Black,0/15/35/0,0,15,35,0,254/217/154,254,217,154,#FED99A,174
25,11,Ectasian,,5,1200,1400,,Black,0/20/40/0,0,20,40,0,253/204/138,253,204,138,#FDCC8A,175
24,11,Calymmian,,5,1400,1600,,Black,0/24/45/0,0,24,45,0,253/192/122,253,192,122,#FDC07A,176
11,4,Mesoproterozoic,,4,1000,1600,,Black,0/30/55/0,0,30,55,0,253/180/98,253,180,98,#FDB462,177
23,10,Statherian,,5,1600,1800,,Black,0/55/10/0,0,55,10,0,248/117/167,248,117,167,#F875A7,178
22,10,Orosirian,,5,1800,2050,,Black,0/60/15/0,0,60,15,0,247/104/152,247,104,152,#F76898,179
21,10,Rhyacian,,5,2050,2300,,Black,0/65/20/0,0,65,20,0,247/91/137,247,91,137,#F75B89,180
20,10,Siderian,,5,2300,2500,,Black,0/70/25/0,0,70,25,0,247/79/124,247,79,124,#F74F7C,181
10,4,Paleoproterozoic,,4,1600,2500,,Black,0/75/30/0,0,75,30,0,247/67/112,247,67,112,#F74370,182
